id,question,choiceA,choiceB,choiceC,choiceD,choiceE,correct
90,CPUのクロックに関する説明のうち.適切なものはどれか。,クロックは.命令実行のタイミングを調整する。,USB接続された周辺機器とCPUの間のデータ転送速度は.クロックの周波数によって決まる。,クロックの間隔が短いほど命令実行に時間が掛かる。,クロックは.次に実行すべき命令の格納位置を記録する。,,
91,"次の作業a～dのうち.リスクマネジメントにおける.リスクアセスメントに含まれるものだけを全て挙げたものはどれか。

a.脅威や脆弱性などを使ってリスクレベルを決定する。
b.リスクとなる要因を特定する。
c.リスクに対してどのように対応するかを決定する。
d.リスクについて対応する優先順位を決定する。",a.b.d,a.b,a.c.d,c.d,,
92,IoT機器からのデータ収集などを行う際の通信に用いられる.数十kmまでの範囲で無線通信が可能な広域性と省電力性を備えるものはどれか。,LPWA,BLE,MDM,MVNO,,
93,ブログのサービスで使用されるRSSリーダが表示する内容として.最も適切なものはどれか。,ブログから収集した記事の情報,ブログにアクセスした利用者の数,ブログに投稿した記事の管理画面,ブログ用のデザインテンプレート,,
94,特定のPCから重要情報を不正に入手するといった標的型攻撃に利用され.攻撃対象のPCに対して遠隔から操作を行って.ファイルの送受信やコマンドなどを実行させるものはどれか。,RAT,VPN,デバイスドライバ,ランサムウェア,,
96,情報セキュリティ方針に関する記述として.適切なものはどれか。,自社の事業内容.組織の特性及び所有する情報資産の特徴を考慮して策定する。,一度定めた内容は.運用が定着するまで変更してはいけない。,企業が目指す情報セキュリティの理想像を記載し.その理想像に近づくための活動を促す。,企業の情報資産を保護するための重要な事項を記載しているので.社外に非公開として厳重に管理する。,,
97,複数のコンピュータが同じ内容のデータを保持し.各コンピュータがデータの正当性を検証して担保することによって.矛盾なくデータを改ざんすることが困難となる.暗号資産の基盤技術として利用されている分散型台帳を実現したものはどれか。,ブロックチェーン,クラウドコンピューティング,ディープラーニング,リレーショナルデータベース,,
98,インターネットで用いるドメイン名に関する記述のうち.適切なものはどれか。,ドメイン名は.接続先を人が識別しやすい文字列で表したものであり.IPアドレスの代わりに用いる。,ドメイン名には.アルファベット.数字.ハイフンを使うことができるが.漢字.平仮名を使うことはできない。,ドメイン名は.Webサーバを指定するときのURLで使用されるものであり.電子メールアドレスには使用できない。,ドメイン名は.個人で取得することはできず.企業や団体だけが取得できる。,,
99,情報セキュリティのリスクマネジメントにおいて.リスク移転.リスク回避.リスク低減.リスク保有などが分類に用いられることがある。これらに関する記述として.適切なものはどれか。,リスク対応において.リスクへの対応策を分類したものであり.リスクの顕在化に備えて保険を掛けることは.リスク移転に分類される。,リスク特定において.保有資産の使用目的を分類したものであり.マルウェア対策ソフトのような情報セキュリティ対策で使用される資産は.リスク低減に分類される。,リスク評価において.リスクの評価方法を分類したものであり.管理対象の資産がもつリスクについて.それを回避することが可能かどうかで評価することは.リスク回避に分類される。,リスク分析において.リスクの分析手法を分類したものであり.管理対象の資産がもつ脆弱性を客観的な数値で表す手法は.リスク保有に分類される。,,
100,システムの経済性の評価において.TCOの概念が重要視されるようになった理由として.最も適切なものはどれか。,システムの総コストにおいて.初期費用に比べて運用費の割合が増大した。,システムの総コストにおいて.運用費に比べて初期費用の割合が増大した。,システムの総コストにおいて.初期費用に占めるソフトウェア費用の割合が増大した。,システムの総コストにおいて.初期費用に占めるハードウェア費用の割合が増大した。,,
